15,13,1,0,0
16,14,1,1,0
17,15,1,1,0
18,16,1,1,0
19,16,2,0,1
20,18,2,2,0
21,19,3,1,1
22,20,3,1,0
23,22,3,2,0
24,23,3,1,0
25,25,3,2,0
26,26,3,1,0
27,27,3,1,0
28,27,3,0,0
29,30,3,3,0
30,32,3,2,0
31,32,3,0,0
32,34,3,2,0
33,35,3,1,0
34,35,3,0,0
35,37,3,2,0
36,39,3,2,0
37,39,4,0,1
38,41,4,2,0
39,41,5,0,1
40,43,5,2,0
41,45,6,2,1
42,48,7,3,1
43,50,7,2,0
44,53,7,3,0
45,56,7,3,0
46,59,8,3,1
47,62,8,3,0
48,66,9,4,1
49,69,10,3,1
50,71,10,2,0
51,75,11,4,1
52,79,12,4,1
53,84,12,5,0
54,88,14,4,2
55,93,14,5,0
56,96,14,3,0
57,101,14,5,0
58,106,15,5,1
59,111,17,5,2
60,117,18,6,1
61,119,19,2,1
62,124,21,5,2
63,130,23,6,2
64,135,25,5,2
65,139,25,4,0
66,144,26,5,1
67,151,28,7,2
68,160,32,9,4
69,172,35,12,3
70,183,37,11,2
71,194,39,11,2
72,206,41,12,2
73,222,44,16,3
74,236,48,14,4
75,257,49,21,1
76,273,52,16,3
77,290,52,17,0
78,304,54,14,2
79,323,57,19,3
80,342,60,19,3
81,361,63,19,3
82,381,67,20,4
83,407,70,26,3
84,434,74,27,4
85,462,80,28,6
86,486,83,24,3
87,511,88,25,5
88,540,95,29,7
89,572,100,32,5
90,606,109,34,9
91,638,119,32,10
92,679,126,41,7
93,723,132,44,6
94,769,136,46,4
95,811,144,42,8
96,859,152,48,8
97,908,163,49,11
98,968,168,60,5
99,1015,180,47,12
100,1074,191,59,11
101,1133,200,59,9
102,1194,217,61,17
103,1261,232,67,15
104,1329,246,68,14
105,1416,260,87,14
106,1494,278,78,18
107,1583,295,89,17
108,1690,316,107,21
109,1794,340,104,24
110,1915,362,121,22
111,2036,387,121,25
112,2172,412,136,25
113,2300,436,128,24
114,2445,459,145,23
115,2575,476,130,17
116,2725,504,150,28
117,2882,528,157,24
118,3055,554,173,26
119,3220,582,165,28
120,3380,619,160,37
121,3567,663,187,44
122,3778,694,211,31
123,3981,726,203,32
124,4194,776,213,50
125,4439,824,245,48
126,4675,876,236,52
127,4968,929,293,53
128,5248,995,280,66
129,5559,1050,311,55
130,5884,1113,325,63
